,시장구분,종목코드,종목명,산업분류,현재가.종가.,전일대비,시가총액.원.,일자,관리여부,종가,EPS,PER,BPS,PBR,주당배당금,배당수익률,게시물..일련번호,총카운트
287,코스닥,115450,지트리비앤티,IT S/W & SVC,22150,-250,5.47E+11,2019-10-30,-,22150,196,113.01,"2,804",7.9,0,0,882,NA
288,코스피,112610,씨에스윈드,기계,31600,-550,5.46E+11,2019-10-30,-,31600,378,83.6,"17,476",1.81,400,1.27,2140,NA
289,코스피,5880,대한해운,운수창고업,22300,-50,5.45E+11,2019-10-30,-,22300,"3,488",6.39,"31,606",0.71,0,0,1666,NA
290,코스피,34830,한국토지신탁,금융업,2150,15,5.43E+11,2019-10-30,-,2150,682,3.15,"3,252",0.66,110,5.12,1984,NA
291,코스닥,108320,실리콘웍스,IT H/W,33350,-100,5.42E+11,2019-10-30,-,33350,"3,010",11.08,"27,460",1.21,830,2.49,852,NA
292,코스피,5180,빙그레,음식료품,55000,-1000,5.42E+11,2019-10-30,-,55000,"3,868",14.22,"55,331",0.99,1350,2.45,1633,NA
293,코스닥,178320,서진시스템,IT H/W,29850,-850,5.40E+11,2019-10-30,-,29850,"2,016",14.81,"11,982",2.49,200,0.67,1029,NA
294,코스피,6390,한일현대시멘트,비금속광물,32100,-750,5.40E+11,2019-10-30,-,32100,-,-,"10,526",3.05,800,2.49,1689,NA
295,코스피,36420,제이콘텐트리,서비스업,37400,900,5.39E+11,2019-10-30,-,37400,"1,520",24.61,"23,390",1.6,0,0,1991,NA
296,코스피,70,삼양홀딩스,금융업,62800,-200,5.38E+11,2019-10-30,-,62800,"9,043",6.94,"159,177",0.39,2000,3.18,1363,NA
297,코스피,4490,세방전지,전기전자,38400,-50,5.38E+11,2019-10-30,-,38400,"7,025",5.47,"70,142",0.55,500,1.3,1604,NA
298,코스닥,272290,이녹스첨단소재,IT H/W,58000,-2300,5.35E+11,2019-10-30,-,58000,"3,355",17.29,"15,909",3.65,0,0,1271,NA
